timestamp, amount, name
1746176651,1356538,tac-period1-9s-fs-eth
1746180251,1359642,tac-period1-9s-fs-eth
1746183851,1362746,tac-period1-9s-fs-eth
1746187451,1365850,tac-period1-9s-fs-eth
1746191051,1368955,tac-period1-9s-fs-eth
1746194651,1372059,tac-period1-9s-fs-eth
1746198251,1375163,tac-period1-9s-fs-eth
1746201851,1378267,tac-period1-9s-fs-eth
1746205451,1381371,tac-period1-9s-fs-eth
1746209051,1384476,tac-period1-9s-fs-eth
1746212651,1387580,tac-period1-9s-fs-eth
1746216251,1390684,tac-period1-9s-fs-eth
1746219851,1393788,tac-period1-9s-fs-eth
1746223451,1396892,tac-period1-9s-fs-eth
1746227051,1399997,tac-period1-9s-fs-eth
1746230651,1403101,tac-period1-9s-fs-eth
1746234251,1406205,tac-period1-9s-fs-eth
1746237851,1409309,tac-period1-9s-fs-eth
1746241451,1412414,tac-period1-9s-fs-eth
1746245051,1415518,tac-period1-9s-fs-eth
1746248651,1418622,tac-period1-9s-fs-eth
1746252251,1421726,tac-period1-9s-fs-eth
1746255851,1424830,tac-period1-9s-fs-eth
1746259451,1427935,tac-period1-9s-fs-eth
1746263051,1431039,tac-period1-9s-fs-eth
1746266651,1434143,tac-period1-9s-fs-eth
1746270251,1437247,tac-period1-9s-fs-eth
1746273851,1440351,tac-period1-9s-fs-eth
1746277451,1443456,tac-period1-9s-fs-eth
1746281051,1446560,tac-period1-9s-fs-eth
1746284651,1449664,tac-period1-9s-fs-eth
1746288251,1452768,tac-period1-9s-fs-eth
1746291851,1455872,tac-period1-9s-fs-eth
1746295451,1458977,tac-period1-9s-fs-eth
1746299051,1462081,tac-period1-9s-fs-eth
1746302651,1465185,tac-period1-9s-fs-eth
1746306251,1468289,tac-period1-9s-fs-eth
1746309851,1471393,tac-period1-9s-fs-eth
1746313451,1474498,tac-period1-9s-fs-eth
1746317051,1477602,tac-period1-9s-fs-eth
1746320651,1480706,tac-period1-9s-fs-eth
1746324251,1483810,tac-period1-9s-fs-eth
1746327851,1486914,tac-period1-9s-fs-eth
1746331451,1490019,tac-period1-9s-fs-eth
1746335051,1493123,tac-period1-9s-fs-eth
1746338651,1496227,tac-period1-9s-fs-eth
1746342251,1499331,tac-period1-9s-fs-eth
1746345851,1502435,tac-period1-9s-fs-eth
